ZIP	LAT	LNG
Peru	-9.189.967	-75.015.152
French Polynesia	-17.679.742	-149.406.843
Papua New Guinea	-6.314.993	14.395.555
Philippines	12.879.721	121.774.017
Pakistan	30.375.321	69.345.116
Poland	51.919.438	19.145.136
Saint Pierre and Miquelon	46.941.936	-5.627.111
Pitcairn Islands	-24.703.615	-127.439.308
Puerto Rico	18.220.833	-66.590.149
Palestinian Territories	31.952.162	35.233.154
Portugal	39.399.872	-8.224.454
Palau	751.498	13.458.252
Paraguay	-23.442.503	-58.443.832
Qatar	25.354.826	51.183.884
RŽunion	-21.115.141	55.536.384
Romania	45.943.161	2.496.676
Serbia	44.016.521	21.005.859
Russia	6.152.401	105.318.756
Rwanda	-1.940.278	29.873.888
Saudi Arabia	23.885.942	45.079.162
Solomon Islands	-964.571	160.156.194
Seychelles	-4.679.574	55.491.977
Sudan	12.862.807	30.217.636
Sweden	60.128.161	18.643.501
Singapore	1.352.083	103.819.836
Saint Helena	-24.143.474	-10.030.696
Slovenia	46.151.241	14.995.463
Svalbard and Jan Mayen	77.553.604	23.670.272
Slovakia	48.669.026	19.699.024
Sierra Leone	8.460.555	-11.779.889
San Marino	4.394.236	12.457.777
Senegal	14.497.401	-14.452.362
Somalia	5.152.149	46.199.616
Suriname	3.919.305	-56.027.783
S‹o TomŽ and Pr’ncipe	0.18636	6.613.081
El Salvador	13.794.185	-8.889.653
Syria	34.802.075	38.996.815
Swaziland	-26.522.503	31.465.866
Turks and Caicos Islands	21.694.025	-71.797.928
Chad	15.454.166	18.732.207
French Southern Territories	-49.280.366	69.348.557
Togo	8.619.543	0.824782
Thailand	15.870.032	100.992.541
Tajikistan	38.861.034	71.276.093
Tokelau	-8.967.363	-171.855.881
Timor-Leste	-8.874.217	125.727.539
Turkmenistan	38.969.719	59.556.278
Tunisia	33.886.917	9.537.499
Tonga	-21.178.986	-175.198.242
Turkey	38.963.745	35.243.322
Trinidad and Tobago	10.691.803	-61.222.503
Tuvalu	-7.109.535	17.764.933
Taiwan	2.369.781	120.960.515
Tanzania	-6.369.028	34.888.822
Ukraine	48.379.433	3.116.558
Uganda	1.373.333	32.290.275
U.S. Minor Outlying Islands		
United States	3.709.024	-95.712.891
Uruguay	-32.522.779	-55.765.835
Uzbekistan	41.377.491	64.585.262
Vatican City	41.902.916	12.453.389
Saint Vincent and the Grenadines	12.984.305	-61.287.228
Venezuela	642.375	-6.658.973
British Virgin Islands	18.420.695	-64.639.968
U.S. Virgin Islands	18.335.765	-64.896.335
Vietnam	14.058.324	108.277.199
Vanuatu	-15.376.706	166.959.158
Wallis and Futuna	-13.768.752	-177.156.097
Samoa	-13.759.029	-172.104.629
Kosovo	42.602.636	20.902.977
Yemen	15.552.727	48.516.388
Mayotte	-128.275	45.166.244
South Africa	-30.559.482	22.937.506
Zambia	-13.133.897	27.849.332
Zimbabwe	-19.015.438	29.154.857
